,Unnamed: 0,💵 Cost,Cost2
258,258,Okay,"$2,878"
259,259,Okay,"$2,868"
260,260,Affordable,"$1,576"
261,261,Okay,"$2,906"
262,262,Cheap,$837
263,263,Okay,"$2,547"
264,264,Okay,"$2,501"
265,265,Affordable,"$2,352"
266,266,Pricey,"$3,671"
267,267,Okay,"$2,898"
268,268,Affordable,"$2,183"
269,269,Affordable,"$2,157"
270,270,Cheap,$648
271,271,Affordable,"$1,250"
272,272,Cheap,$969
273,273,Okay,"$2,623"
274,274,Cheap,$966
275,275,Okay,"$2,948"
276,276,Affordable,"$1,023"
277,277,Affordable,"$1,286"
278,278,Pricey,"$3,107"
279,279,Pricey,"$3,046"
280,280,Affordable,"$1,581"
281,281,Okay,"$2,671"
282,282,Okay,"$2,720"
283,283,Okay,"$2,809"
284,284,Pricey,"$3,339"
285,285,Okay,"$2,659"
286,286,Okay,"$2,894"
287,287,Pricey,"$3,255"
288,288,Affordable,"$2,330"
289,289,Okay,"$2,587"
290,290,Affordable,"$1,143"
291,291,Affordable,"$1,256"
292,292,Affordable,"$1,168"
293,293,Pricey,"$3,038"
294,294,Affordable,"$2,381"
295,295,Cheap,$949
296,296,Pricey,"$3,837"
297,297,Too expensive,"$4,477"
298,298,Okay,"$2,755"
299,299,Affordable,"$2,490"
300,300,Okay,"$2,580"
301,301,Okay,"$2,854"
302,302,Affordable,"$1,446"
303,303,Pricey,"$3,048"
304,304,Affordable,"$2,306"
305,305,Okay,"$2,968"
306,306,Affordable,"$1,273"
307,307,Pricey,"$3,005"
308,308,Okay,"$2,610"
309,309,Okay,"$2,955"
310,310,Okay,"$2,906"
311,311,Affordable,"$1,262"
312,312,Okay,"$2,723"
313,313,Cheap,$915
314,314,Affordable,"$2,246"
315,315,Okay,"$2,799"
316,316,Affordable,"$2,454"
317,317,Cheap,$993
318,318,Okay,"$2,615"
319,319,Okay,"$2,924"
320,320,Affordable,"$1,573"
321,321,Cheap,$829
322,322,Cheap,$713
323,323,Pricey,"$3,336"
324,324,Affordable,"$1,778"
325,325,Cheap,$793
326,326,Affordable,"$1,256"
327,327,Affordable,"$2,198"
328,328,Pricey,"$3,535"
329,329,Affordable,"$1,142"
330,330,Affordable,"$1,965"
331,331,Affordable,"$1,077"
332,332,Pricey,"$3,004"
333,333,Okay,"$2,862"
334,334,Okay,"$2,813"
335,335,Okay,"$2,671"
336,336,Way too expensive,"$5,395"
337,337,Affordable,"$2,248"
338,338,Affordable,"$2,383"
339,339,Pricey,"$3,151"
340,340,Okay,"$2,795"
341,341,Affordable,"$1,543"
342,342,Pricey,"$3,114"
343,343,Cheap,$964
344,344,Okay,"$2,958"
345,345,Cheap,$558
346,346,Okay,"$2,996"
347,347,Okay,"$2,908"
348,348,Okay,"$2,958"
349,349,Affordable,"$1,804"
350,350,Cheap,$807
351,351,Too expensive,"$4,037"
352,352,Pricey,"$3,033"
353,353,Okay,"$2,958"
354,354,Pricey,"$3,207"
355,355,Pricey,"$3,716"
356,356,Okay,"$2,816"
357,357,Affordable,"$1,100"
358,358,Affordable,"$1,781"
359,359,Pricey,"$3,360"
360,360,Cheap,$628
361,361,Okay,"$2,798"
362,362,Okay,"$2,962"
363,363,Pricey,"$3,088"
364,364,Okay,"$2,982"
365,365,Too expensive,"$4,327"
366,366,Affordable,"$1,591"
367,367,Pricey,"$3,037"
368,368,Pricey,"$3,623"
369,369,Okay,"$2,990"
370,370,Pricey,"$3,376"
371,371,Okay,"$2,818"
372,372,Affordable,"$1,314"
373,373,Too expensive,"$4,114"
374,374,Pricey,"$3,433"
375,375,Cheap,$991
376,376,Okay,"$2,627"
377,377,Cheap,$761
378,378,Affordable,"$1,773"
379,379,Affordable,"$1,352"
380,380,Cheap,$778
381,381,Cheap,$893
382,382,Pricey,"$3,129"
383,383,Okay,"$2,687"
384,384,Pricey,"$3,028"
385,385,Pricey,"$3,260"
386,386,Cheap,$876
387,387,Pricey,"$3,839"
388,388,Pricey,"$3,112"
389,389,Pricey,"$3,057"
390,390,Okay,"$2,747"
391,391,Affordable,"$1,015"
392,392,Pricey,"$3,029"
393,393,Affordable,"$1,288"
394,394,Affordable,"$1,284"
395,395,Pricey,"$3,370"
396,396,Pricey,"$3,365"
397,397,Affordable,"$1,657"
398,398,Affordable,"$1,357"
399,399,Pricey,"$3,105"
400,400,Cheap,$699
401,401,Affordable,"$1,107"
402,402,Cheap,$735
403,403,Pricey,"$3,008"
404,404,Okay,"$2,757"
405,405,Affordable,"$2,243"
406,406,Pricey,"$3,112"
407,407,Okay,"$2,878"
408,408,Pricey,"$3,092"
409,409,Pricey,"$3,423"
410,410,Affordable,"$2,336"
411,411,Pricey,"$3,092"
412,412,Pricey,"$3,704"
413,413,Cheap,$738
414,414,Pricey,"$3,040"
415,415,Cheap,$960
416,416,Pricey,"$3,140"
417,417,Pricey,"$3,414"
418,418,Pricey,"$3,187"
419,419,Okay,"$2,953"
420,420,Okay,"$2,872"
421,421,Cheap,$828
422,422,Pricey,"$3,099"
423,423,Too expensive,"$4,736"
424,424,Affordable,"$1,064"
