,City,Total score,Quality of life score,Family score,Cost,Internet,Fun,Safety,Lack of crime,Lack of racism,Education level,Income level,English speaking,Walkability,Traffic safety,Happiness,Nightlife,Free WiFi in city,A/C or heating,Friendly to foreigners,Freedom of speech,Female friendly,LGBTQ+ friendly,Startup Score,Hospitals,Country,Continent,Ciudad_Country,Latitude,Longitude
83,Hong Kong,3.75,Good,Good,Affordable,Super fast,Great,Good,Great,Bad,High,High,Okay,Great,Okay,Okay,Great,Bad,Great,Okay,Good,Okay,Good,Okay,Unknown,Hong Kong,Asia,"Hong Kong, Hong Kong",22.2793278,114.1628131
84,Portland,3.7,Good,Good,Too expensive,Super fast,Great,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Good,Okay,Great,Great,Good,Okay,Great,Okay,Great,United States,North America,"Portland, United States",45.5202471,-122.6741949
85,Bansko,3.74,Good,Okay,Affordable,Fast,Great,Good,Good,Bad,High,Very low,Okay,Okay,Okay,Bad,Bad,Good,Okay,Okay,Okay,Okay,Okay,Okay,Unknown,Bulgaria,Europe,"Bansko, Bulgaria",41.8344086,23.4841698
86,Fuerteventura,3.73,Good,Good,Affordable,Fast,Great,Great,Great,Okay,High,Mediocre,Okay,Great,Okay,Good,Bad,Bad,Bad,Good,Good,Good,Great,Okay,Unknown,Spain,Europe,"Fuerteventura, Spain",28.40037685,-14.004869713542156
87,Manila,3.74,Okay,Okay,Affordable,Slow,Bad,Good,Okay,Bad,Mediocre,Very low,Good,Great,Okay,Okay,Good,Bad,Great,Okay,Okay,Bad,Bad,Okay,Okay,Philippines,Asia,"Manila, Philippines",14.5948914,120.9782618
88,Vilnius,3.75,Good,Okay,Affordable,Fast,Great,Okay,Okay,Good,High,Low,Okay,Great,Okay,Okay,Okay,Great,Okay,Great,Good,Okay,Bad,Okay,Great,Lithuania,Europe,"Vilnius, Lithuania",54.6870458,25.2829111
89,Plovdiv,3.75,Good,Okay,Affordable,Fast,Okay,Good,Good,Bad,High,Very low,Okay,Great,Okay,Bad,Okay,Good,Great,Good,Okay,Okay,Bad,Okay,Unknown,Bulgaria,Europe,"Plovdiv, Bulgaria",42.1418541,24.7499297
90,Portimao,3.77,Good,Good,Affordable,Fast,Okay,Great,Great,Okay,Mediocre,Low,Good,Okay,Okay,Okay,Okay,Bad,Okay,Good,Good,Okay,Great,Okay,Good,Portugal,Europe,"Portimao, Portugal",37.19420955,-8.585577395168343
91,Dresden,3.7,Good,Good,Okay,Fast,Okay,Good,Great,Good,High,High,Good,Great,Okay,Good,Good,Good,Bad,Great,Great,Great,Great,Okay,Great,Germany,Europe,"Dresden, Germany",51.0493286,13.7381437
92,Quebec City,3.63,Good,Good,Affordable,Fast,Okay,Good,Good,Great,High,High,Okay,Great,Okay,Great,Bad,Okay,Great,Good,Great,Great,Great,Okay,Unknown,Canada,North America,"Quebec City, Canada",46.8183175,-71.2143518
93,Chicago,3.73,Good,Good,Too expensive,Super fast,Good,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Okay,Okay,Okay,Good,Okay,Great,Okay,Great,United States,North America,"Chicago, United States",41.8755616,-87.6244212
94,Johannesburg,3.77,Okay,Okay,Affordable,Good,Okay,Okay,Very bad,Okay,Mediocre,Very low,Great,Great,Bad,Bad,Bad,Bad,Okay,Good,Good,Bad,Great,Okay,Bad,South Africa,Africa,"Johannesburg, South Africa",-26.205,28.049722
95,Davao,3.68,Okay,Okay,Affordable,Slow,Good,Good,Okay,Bad,Mediocre,Very low,Good,Great,Okay,Okay,Okay,Okay,Unknown,Great,Okay,Okay,Bad,Okay,Unknown,Philippines,Asia,"Davao, Philippines",7.0648306,125.6080623
96,Dallas,3.75,Good,Good,Pricey,Super fast,Good,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Bad,Good,Good,Good,Good,Okay,Great,Okay,Great,United States,North America,"Dallas, United States",32.7762719,-96.7968559
97,Taghazout,3.74,Okay,Okay,Affordable,Slow,Okay,Good,Good,Bad,Low,Very low,Bad,Bad,Bad,Okay,Bad,Okay,Bad,Great,Okay,Okay,Bad,Bad,Unknown,Morocco,Africa,"Taghazout, Morocco",30.544722,-9.709128
98,San Miguel De Allende,3.76,Good,Okay,Affordable,Good,Okay,Good,Bad,Okay,Mediocre,Very low,Bad,Great,Okay,Good,Okay,Okay,Okay,Great,Bad,Okay,Great,Bad,Unknown,Mexico,Latin America,"San Miguel De Allende, Mexico",20.9142238,-100.743784
99,Dubrovnik,3.64,Good,Okay,Affordable,Fast,Okay,Good,Great,Okay,High,Very low,Okay,Okay,Okay,Okay,Bad,Okay,Bad,Okay,Good,Bad,Bad,Okay,Okay,Croatia,Europe,"Dubrovnik, Croatia",42.6502473,18.0924947
100,Quito,3.75,Good,Okay,Affordable,Good,Okay,Good,Okay,Okay,Mediocre,Very low,Bad,Okay,Bad,Okay,Okay,Good,Okay,Good,Okay,Good,Great,Bad,Okay,Ecuador,Latin America,"Quito, Ecuador",-0.2201641,-78.5123274
101,Constanta,3.7,Good,Okay,Affordable,Fast,Great,Good,Good,Bad,High,Very low,Okay,Great,Okay,Okay,Okay,Okay,Okay,Okay,Good,Okay,Bad,Okay,Bad,Romania,Europe,"Constanta, Romania",44.1767161,28.6507598
102,Tulum,3.89,Okay,Okay,Affordable,Good,Good,Okay,Bad,Okay,Mediocre,Very low,Bad,Great,Okay,Good,Good,Bad,Bad,Bad,Bad,Good,Great,Bad,Unknown,Mexico,Latin America,"Tulum, Mexico",20.2152358,-87.42953531439221
